,SevereWasting,Wasting,Overweight,Stunting,Underweight,,,,,,,,,,,,,,,,,,,,,,
65,0.921052632,3.395,5.994736842,8.68,3.955,,,,,,,Sample Variance,117.1453479,,,,,,,,,,,,,,
66,0.2,2.3,1.5,7.1,3.4,,,,,,,Kurtosis,0.055580464,,,,,,,,,,,,,,
67,0.76,2.58,5.72,11.76,3.5,,,,,,,Skewness,0.913203081,,,,,,,,,,,,,,
68,1.58,4.2,9.7,15.02,3.76,,,,,,,Range,46.16666667,,,,,,,,,,,,,,
69,2.3625,6.466666667,5.95,37.14444444,16.75,,,,,,,Minimum,0.1,,,,,,,,,,,,,,
70,2.168649695,12.6,15.9,34.4,13.2,,,,,,,Maximum,46.26666667,,,,,,,,,,,,,,
71,0.628571429,2.522222222,7.988888889,4.661111111,2.353333333,,,,,,,Sum,2052.473233,,,,,,,,,,,,,,
72,0.816666667,2.533333333,7.666666667,19.91666667,4.366666667,,,,,,,Count,152,,,,,,,Analysis,Correlation coefficient,Regression coefficient,p-value for regression coefficient,95% confidence interval for regression coefficient,Mean MUAC score for children who received CHW visits,Mean MUAC score for children who did not receive CHW visits,Standard deviation of MUAC scores
73,3.2,10.51428571,2.4,44.92857143,30.87142857,,,,,,,Confidence Level(95.0%),1.734536622,,,,,,,Result,0.35,0.15,<0.01,0.10 to 0.20,12.3,11.8,1.5
74,2.25,5.1,18.75,16.85,3.85,,,,,,,,,,,,,,,,,,,,,,
75,1.62,6.671428571,9.82,40.2,14.08571429,,,,,,,,,,,,,,,,,,,,,,
76,1.78,5.84,3.48,37.22,17.74,,,,,,,,,,,,,,,,,,,,,,
77,3.233333333,6.766666667,21.8,26.73333333,7.166666667,,,,,,,,,,,,,,,,,,,,,,
78,2.24,9.957142857,2.5,52.575,34.31428571,,,,,,,Wasting,,,,,,,,,,,,,,,
79,1.607692308,4.64,7.484615385,49.10714286,17.40666667,,,,,,,,,,,,,,,,,,,,,,
80,2.168649695,11.6,6.2,19.075,18.14,,,,,,,Mean,6.599257124,,,,,,,,,,,,,,
81,4.725,15.78,4.66,32.6,30.32,,,,,,,Standard Error,0.361100309,,,,,,,,,,,,,,
82,4.457142857,13.24285714,2.2,34.41428571,26.67142857,,,,,,,Median,5.77,,,,,,,,,,,,,,
83,1.1,3.5,4.1,34.8,11.9,,,,,,,Mode,2.3,,,,,,,,,,,,,,
84,3.975,13.41,2.6375,34.17,24.86666667,,,,,,,Standard Deviation,4.451943602,,,,,,,,,,,,,,
85,2.168649695,17,7.65,20.45,17.05,,,,,,,Sample Variance,19.81980184,,,,,,,,,,,,,,
86,0.65,3.825,7.371428571,19.175,6.525,,,,,,,Kurtosis,0.934272293,,,,,,,,,,,,,,
87,0.9625,2.444444444,9.925,20.77777778,5.911111111,,,,,,,Skewness,1.044658838,,,,,,,,,,,,,,
88,1.7,3.5,19,8.65,1.6,,,,,,,Range,23.65,,,,,,,,,,,,,,
89,1.95,4.483333333,10.86666667,23.85,6.916666667,,,,,,,Minimum,0,,,,,,,,,,,,,,
90,2.566666667,6.8,6.566666667,47.84285714,20.75714286,,,,,,,Maximum,23.65,,,,,,,,,,,,,,
91,2.5,9.771428571,4.62,45.1,29.75555556,,,,,,,Sum,1003.087083,,,,,,,,,,,Analysis,Result,,
92,2.75,8.575,4.125,29.2,18.05,,,,,,,Count,456,,,,,,,,,,,Correlation coefficient,0.35,,
93,0.2,1,2.8,24,4.8,,,,,,,Confidence Level(95.0%),0.713461602,,,,,,,,,,,Regression coefficient,0.15,,
94,2.528571429,10.325,1.028571429,51.9125,36.95,,,,,,,,,,,,,,,,,,,p-value for regression coefficient,<0.01,,
95,0.75,2.033333333,6.55,24.06666667,7.033333333,,,,,,,,,,,,,,,,,,,95% confidence interval for regression coefficient,0.10 to 0.20,,
96,4.33,15.93636364,1.52,46,38.26363636,,,,,,,,,,,,,,,,,,,Mean MUAC score for children who received CHW visits,12.3,,
97,4.38,12.04545455,4.890909091,39.46363636,26.68181818,,,,,,,Severe Wasting,,,,,,,,,,,,Mean MUAC score for children who did not receive CHW visits,11.8,,
98,0.633333333,2.3,12.73333333,8.066666667,1.666666667,,,,,,,,,,,,,,,,,,,Standard deviation of MUAC scores,1.5,,
99,1.68,7.783333333,3.55,16.06666667,11.91666667,,,,,,,Mean,2.168649695,,,,,,,,,,,,,,
100,4.5,14.31428571,4.757142857,46.67142857,33.7375,,,,,,,Standard Error,0.132991407,,,,,,,,,,,,,,
101,0.333333333,1.366666667,9.066666667,19.83333333,4.733333333,,,,,,,Median,2.024305556,,,,,,,,,,,,,,
102,2.8,8,6.733333333,46.46666667,22.9,,,,,,,Mode,2.168649695,,,,,,,,,,,,,,
103,0.333333333,1.325,9.275,13.025,2.525,,,,,,,Standard Deviation,1.639628181,,,,,,,,,,,,,,
104,0.213333333,0.793333333,8.94,21.86,4.32,,,,,,,Sample Variance,2.688380571,,,,,,,,,,,,,,
105,1.92,7.127272727,3.1,36.27272727,24.14545455,,,,,,,Kurtosis,7.78572257,,,,,,,,,,,,,,
106,2.168649695,6.599257124,7.201637972,2.75,13.50311337,,,,,,,Skewness,2.052938544,,,,,,,,,,,,,,
107,2.168649695,2.1,10.4,11.6,4.8,,,,,,,Range,11.4,,,,,,,,,,,,,,
108,0.15,1.05,6.75,2.5,0.8,,,,,,,Minimum,0,,,,,,,,,,,,,,
109,1.45,3.85,6.9,8.55,2.7,,,,,,,Maximum,59,,,,,,,,,,,,,,
110,0.9,3.72,8.08,13.22,3.88,,,,,,,Sum,23324,,,,,,,,,,,,,,
111,1.425,4.866666667,6.314285714,46.31111111,15.88888889,,,,,,,Count,654,,,,,,,,,,,,,,
112,0.7,3.7,6.3,2.5,2.8,,,,,,,Confidence Level(95.0%),0.262764278,,,,,,,,,,,,,,
113,1.3,2.6,5.75,5.65,2.45,,,,,,,,,,,,,,,,,,,,,,
114,2.333333333,7.02,9.55,28.88,11.26,,,,,,,,,,,,,,,,,,,,,,
115,4.5,7.35,3.65,15.35,9.4,,,,,,,,,,,,,,,,,,,,,,
116,1.825,8.271428571,2.115384615,22.73571429,16.3,,,,,,,,,,,,,,,,,,,,,,
117,1.233333333,3.966666667,16.26666667,6.9,1.733333333,,,,,,,,,,,,,,,,,,,,,,
118,1.2,3.5,8,7.8,4.3,,,,,,,,,,,,,,,,,,,,,,
119,3.075,8.61,6.2375,37.2,20.39,,,,,,,,,,,,,,,,,,,,,,
120,0.5,3.6,2.6,4.4,3.3,,,,,,,,,,,,,,,,,,,,,,
121,2.333333333,6.733333333,2.966666667,32.73333333,14.66666667,,,,,,,,,,,,,,,,,,,,,,
122,4.35,15.63333333,3.85,32.16666667,26.03333333,,,,,,,,,,,,,,,,,,,,,,
123,2.92,5.371428571,13.61428571,29.07142857,9.714285714,,,,,,,,,,,,,,,,,,,,,,
124,11.4,23.65,8.45,33.75,30.1,,,,,,,,,,,,,,,,,,,,,,
125,2.45,15.7625,1.05,21.8625,26,,,,,,,,,,,,,,,,,,,,,,
126,0.85,3.733333333,7.58,11.55,2.92,,,,,,,,,,,,,,,,,,,,,,
127,4.766666667,15.4,2.9,36.86666667,29.93333333,,,,,,,,,,,,SevereWasting,,Wasting,,Overweight,,Stunting,,Underweight,,
128,1.266666667,5.633333333,3.633333333,11.16666667,8.133333333,,,,,,,,,,,,,,,,,,,,,,
129,5.05,9.566666667,17.825,28.55,10.05,,,,,,,,,,Mean,75.5,Mean,2.168649695,Mean,6.599257124,Mean,7.201637972,Mean,25.81472822,Mean,13.50311337,
130,2.483333333,8.290909091,6.116666667,33.77272727,10.93333333,,,,,,,,,,Standard Error,3.570714214,Standard Error,0.132991407,Standard Error,0.361100309,Standard Error,0.373330618,Standard Error,1.187306257,Standard Error,0.877891268,
131,1.475,6.083333333,6.62,17.73333333,12.46666667,,,,,,,,,,Median,75.5,Median,2.024305556,Median,5.77,Median,6.307142857,Median,24.33714286,Median,10.82166667,
132,4.775,15.62,3.65,55.38,42.8,,,,,,,,,,Mode,#N/A,Mode,2.168649695,Mode,2.3,Mode,7.201637972,Mode,6.9,Mode,7.7,
133,2.0375,7.7125,2.4,30.92222222,18.93333333,,,,,,,,,,Standard Deviation,44.02272141,Standard Deviation,1.639628181,Standard Deviation,4.451943602,Standard Deviation,4.602728977,Standard Deviation,14.63809463,Standard Deviation,10.82337045,
134,2.1,3.25,17.3,5.15,1.9,,,,,,,,,,Sample Variance,1938,Sample Variance,2.688380571,Sample Variance,19.81980184,Sample Variance,21.18511404,Sample Variance,214.2738144,Sample Variance,117.1453479,
135,1.4,5.466666667,6.633333333,6.933333333,5.133333333,,,,,,,,,,Kurtosis,-1.2,Kurtosis,7.78572257,Kurtosis,0.934272293,Kurtosis,2.671689836,Kurtosis,-0.942010908,Kurtosis,0.055580464,
136,1.1,3.583333333,9.08,12.45,3.65,,,,,,,,,,Skewness,-2.9802E-17,Skewness,2.052938544,Skewness,1.044658838,Skewness,1.468469192,Skewness,0.180837783,Skewness,0.913203081,
137,0.6,2.1,7.75,14.35,4.842857143,,,,,,,,,,Range,151,Range,11.4,Range,23.65,Range,25.5375,Range,56.6,Range,46.16666667,
138,1.6,6.166666667,5.2,19.5,7.633333333,,,,,,,,,,Minimum,0,Minimum,0,Minimum,0,Minimum,0.9625,Minimum,1,Minimum,0.1,
139,0.9,3.3,6.3,10,1.6,,,,,,,,,,Maximum,151,Maximum,11.4,Maximum,23.65,Maximum,26.5,Maximum,57.6,Maximum,46.26666667,
140,1.333333333,4.522222222,4.277777778,38.33333333,15.53333333,,,,,,,,,,Sum,11476,Sum,329.6347536,Sum,1003.087083,Sum,1094.648972,Sum,3923.838689,Sum,2052.473233,
141,3.8,8.2,26.5,22.9,4.1,,,,,,,,,,Count,152,Count,152,Count,152,Count,152,Count,152,Count,152,
